From,To,Distance(km)
India Gate,Chanakyapuri,14.54
Hari Nagar,Sarojini Nagar,10.73
Sagarpur,Rajouri Garden,2.67
Wazirabad,Vikaspuri,5.07
Andheria Mod,Pushp Vihar,1.1
Nehru Place,Bijwasan,7.4
Jahangirpuri,Babarpur,4.65
Mukherjee Nagar,Burari,4.38
Deoli,GTB Enclave,7.42
Jhilmil,Moti Nagar,11.46
Barakhamba,Mansarovar Park,9.78
Mahipalpur,Kirti Nagar,1.7
Inderpuri,Lajpat Nagar,5.96
Safdarjung,Kalkaji,2.45
Paschim Vihar,Patparganj,14.02
Badli,Vikaspuri,11.53
Vikaspuri,Batla House,2.76
Subhash Nagar,Tagore Garden,5.53
Mukherjee Nagar,Burari,1.79
Lok Kalyan Marg,Connaught Place,9.18
Krishna Nagar,Paschim Vihar,12.3
New Friends Colony,Punjabi Bagh,7.34
Barakhamba,Najafgarh,4.98
Vikaspuri,Tigri,1.65
Okhla,Preet Vihar,9.65
Hari Nagar,Kirti Nagar,5.87
Arjangarh,Adarsh Nagar,4.46
Mandawali,Kapasheda,10.36
Jamia Nagar,Adarsh Nagar,10.03
Moti Nagar,Karkardooma,10.21
Lajpat Nagar,Lok Kalyan Marg,9.47
Badarpur,Kalkaji,10.17
Mandi House,Laxmi Nagar,9.98
Neb Sarai,Rajiv Chowk,9.08
Karawal Nagar,ISBT,8.54
Nehru Place,Badarpur,1.68
Mayur Vihar,Dilshad Garden,4.88
Tilak Nagar,RK Puram,6.1
Race Course,Paschim Vihar,14.92
Azadpur,Rajiv Chowk,4.01
Wazirabad,Badarpur,2.24
Punjabi Bagh,Dabri,9.27
Tughlakabad,Jahangirpuri,3.79
Sangam Vihar,Mayur Vihar,10.6
Karkardooma,Geeta Colony,10.71
RK Puram,Yamuna Vihar,7.88
Adarsh Nagar,Rajendra Nagar,8.92
Chattarpur,Inderpuri,13.8
Shalimar Bagh,Badarpur,10.49
INA,ISBT,1.12
Neb Sarai,Mukherjee Nagar,3.17
Nauroji Nagar,Mandi House,9.48
Najafgarh,Burari,7.99
Nauroji Nagar,Bhikaji Cama Place,13.64
Tagore Garden,Neb Sarai,2.74
Sultanpur,Azadpur,2.07
Old Delhi,Kashmere Gate,11.19
AIIMS,Paschim Vihar,8.24
Geeta Colony,Karawal Nagar,10.39
Kalkaji,Saket,13.66
Timarpur,Sultanpur,14.55
Babarpur,Sarojini Nagar,9.89
Adarsh Nagar,Tagore Garden,10.04
Palam Colony,Hazrat Nizamuddin,7.34
Sarita Vihar,Zafrabad,9.04
